
number: 1000

(3, 271)            : 813
(5, 31)             : [155, 775]
(2, 223)            : [446, 892]
(2, 5, 11)          : [110, 220, 440, 550, 880]
(3, 317)            : 951
(2, 491)            : 982
(3, 277)            : 831
(5, 193)            : 965
(2, 3, 5, 11)       : [330, 660, 990]
(3, 193)            : 579
(2, 269)            : 538
(2, 3, 5, 7)        : [210, 420, 630, 840]
(2, 373)            : 746
(2, 3, 5, 29)       : 870
(2, 3, 5, 19)       : 570
(2, 53)             : [106, 212, 424, 848]
(2, 47)             : [94, 188, 376, 752]
(2, 379)            : 758
(11, 83)            : 913
(7, 137)            : 959
(2, 3, 37)          : [222, 444, 666, 888]
(2, 73)             : [146, 292, 584]
(11, 41)            : 451
(5, 157)            : 785
(5, 7, 11)          : 385
(3, 101)            : [303, 909]
(2, 157)            : [314, 628]
(5, 103)            : 515
(3, 11)             : [33, 99, 297, 363, 891]
(3, 7, 43)          : 903
(7, 113)            : 791
(2, 3, 61)          : [366, 732]
(3, 13, 19)         : 741
(3, 17)             : [51, 153, 459, 867]
(5, 43)             : 215
(3, 5, 53)          : 795
(2, 3, 103)         : 618
(2, 5, 19)          : [190, 380, 760, 950]
(7, 37)             : 259
(5, 53)             : 265
(2, 229)            : [458, 916]
(2, 17, 23)         : 782
(3, 7, 19)          : 399
(2, 3, 53)          : [318, 636, 954]
(2, 313)            : 626
(3, 251)            : 753
(5, 131)            : 655
(2, 7)              : [14, 28, 56, 98, 112, 196, 224, 392, 448, 686, 784, 896]
(2, 11, 19)         : [418, 836]
(3, 5, 61)          : 915
(2, 3, 127)         : 762
(2, 5, 43)          : [430, 860]
(5, 173)            : 865
(3, 167)            : 501
(19,)               : 361
(2, 11, 17)         : [374, 748]
(2, 359)            : 718
(23, 31)            : 713
(17, 43)            : 731
(13, 37)            : 481
(11, 61)            : 671
(5, 79)             : 395
(3, 83)             : [249, 747]
(3, 5, 37)          : 555
(11, 19)            : 209
(7, 73)             : 511
(2, 137)            : [274, 548]
(7, 103)            : 721
(3, 31)             : [93, 279, 837]
(2, 163)            : [326, 652]
(2, 463)            : 926
(5, 29)             : [145, 725]
(3, 37)             : [111, 333, 999]
(2, 7, 67)          : 938
(3, 313)            : 939
(2, 3, 157)         : 942
(2, 5, 59)          : 590
(3, 11, 17)         : 561
(2, 3, 7)           : [42, 84, 126, 168, 252, 294, 336, 378, 504, 588, 672, 756, 882]
(5, 197)            : 985
(2, 7, 17)          : [238, 476, 952]
(7, 71)             : 497
(3, 233)            : 699
(3, 7, 11)          : [231, 693]
(2, 293)            : 586
(19, 41)            : 779
(2, 11, 43)         : 946
(3, 149)            : 447
(7, 139)            : 973
(2, 71)             : [142, 284, 568]
(17, 37)            : 629
(2, 3, 73)          : [438, 876]
(5, 89)             : 445
(2, 7, 41)          : 574
(2, 5, 89)          : 890
(2, 97)             : [194, 388, 776]
(5,)                : [25, 125, 625]
(3, 103)            : [309, 927]
(3, 5, 29)          : 435
(5, 101)            : 505
(3, 13)             : [39, 117, 351, 507]
(2, 181)            : [362, 724]
(2, 449)            : 898
(3, 19)             : [57, 171, 513]
(2, 13, 29)         : 754
(11, 43)            : 473
(5, 41)             : 205
(2, 3, 139)         : 834
(2, 227)            : [454, 908]
(3, 311)            : 933
(7, 61)             : 427
(2, 3, 23)          : [138, 276, 414, 552, 828]
(2, 5, 67)          : 670
(23,)               : 529
(2, 311)            : 622
(2, 13, 37)         : 962
(2, 3, 89)          : 534
(2, 5)              : [10, 20, 40, 50, 80, 100, 160, 200, 250, 320, 400, 500, 640, 800, 1000]
(2, 337)            : 674
(3, 131)            : 393
(19, 29)            : 551
(5, 11, 17)         : 935
